FECHA,VV
2020-08-25,14153.56
2020-08-26,9320.16
2020-08-27,10627.89
2020-08-28,8869.82
2020-08-29,3197.94
2020-08-31,17952.86
2020-09-01,8740.13
2020-09-02,10551.72
2020-09-03,12623.64
2020-09-04,7774.0
2020-09-05,6530.08
2020-09-07,6705.96
2020-09-08,6083.21
2020-09-09,9044.38
2020-09-10,6922.35
2020-09-11,10146.17
2020-09-12,6289.01
2020-09-14,8398.96
2020-09-15,10285.44
2020-09-16,15533.37
2020-09-17,6713.73
2020-09-18,7647.25
2020-09-19,6309.67
2020-09-21,10417.27
2020-09-22,8525.66
2020-09-23,14542.54
2020-09-24,15779.68
2020-09-25,16222.69
2020-09-26,2778.56
2020-09-28,11223.31
2020-09-29,19401.88
2020-09-30,15352.25
2020-10-01,11173.05
2020-10-02,9845.28
2020-10-03,4458.01
2020-10-05,6753.72
2020-10-06,13757.1
2020-10-07,16455.41
2020-10-08,5930.93
2020-10-09,9469.37
2020-10-10,7963.11
2020-10-12,5923.72
