var1(t-7),var1(t-6),var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),var1(t)
-0.7636982,-0.9975904,-0.74222577,-0.67459,-0.7753827,-0.8213405,-0.5954693,-0.7909869
-0.9975904,-0.74222577,-0.67459,-0.7753827,-0.8213405,-0.5954693,-0.7909869,-0.5954745
-0.74222577,-0.67459,-0.7753827,-0.8213405,-0.5954693,-0.7909869,-0.5954745,-0.5791432
-0.67459,-0.7753827,-0.8213405,-0.5954693,-0.7909869,-0.5954745,-0.5791432,-0.34441328
-0.7753827,-0.8213405,-0.5954693,-0.7909869,-0.5954745,-0.5791432,-0.34441328,-0.6773896
-0.8213405,-0.5954693,-0.7909869,-0.5954745,-0.5791432,-0.34441328,-0.6773896,-0.5904496
-0.5954693,-0.7909869,-0.5954745,-0.5791432,-0.34441328,-0.6773896,-0.5904496,-0.9150809
-0.7909869,-0.5954745,-0.5791432,-0.34441328,-0.6773896,-0.5904496,-0.9150809,-0.53992456
-0.5954745,-0.5791432,-0.34441328,-0.6773896,-0.5904496,-0.9150809,-0.53992456,-0.580891
-0.5791432,-0.34441328,-0.6773896,-0.5904496,-0.9150809,-0.53992456,-0.580891,-0.68870646
-0.34441328,-0.6773896,-0.5904496,-0.9150809,-0.53992456,-0.580891,-0.68870646,-0.33509725
-0.6773896,-0.5904496,-0.9150809,-0.53992456,-0.580891,-0.68870646,-0.33509725,-0.6033368
-0.5904496,-0.9150809,-0.53992456,-0.580891,-0.68870646,-0.33509725,-0.6033368,-0.727346
-0.9150809,-0.53992456,-0.580891,-0.68870646,-0.33509725,-0.6033368,-0.727346,-0.6892904
-0.53992456,-0.580891,-0.68870646,-0.33509725,-0.6033368,-0.727346,-0.6892904,-0.3243248
-0.580891,-0.68870646,-0.33509725,-0.6033368,-0.727346,-0.6892904,-0.3243248,-0.3444547
-0.68870646,-0.33509725,-0.6033368,-0.727346,-0.6892904,-0.3243248,-0.3444547,-0.4422558
-0.33509725,-0.6033368,-0.727346,-0.6892904,-0.3243248,-0.3444547,-0.4422558,-0.59046715
-0.6033368,-0.727346,-0.6892904,-0.3243248,-0.3444547,-0.4422558,-0.59046715,-0.61102605
-0.727346,-0.6892904,-0.3243248,-0.3444547,-0.4422558,-0.59046715,-0.61102605,-0.9952291
-0.6892904,-0.3243248,-0.3444547,-0.4422558,-0.59046715,-0.61102605,-0.9952291,-0.43099272
-0.3243248,-0.3444547,-0.4422558,-0.59046715,-0.61102605,-0.9952291,-0.43099272,-0.78082716
-0.3444547,-0.4422558,-0.59046715,-0.61102605,-0.9952291,-0.43099272,-0.78082716,-0.3087448
-0.4422558,-0.59046715,-0.61102605,-0.9952291,-0.43099272,-0.78082716,-0.3087448,-0.7408314
-0.59046715,-0.61102605,-0.9952291,-0.43099272,-0.78082716,-0.3087448,-0.7408314,-0.6399946
-0.61102605,-0.9952291,-0.43099272,-0.78082716,-0.3087448,-0.7408314,-0.6399946,-0.8004621
-0.9952291,-0.43099272,-0.78082716,-0.3087448,-0.7408314,-0.6399946,-0.8004621,-0.997215
-0.43099272,-0.78082716,-0.3087448,-0.7408314,-0.6399946,-0.8004621,-0.997215,-0.7324767
-0.78082716,-0.3087448,-0.7408314,-0.6399946,-0.8004621,-0.997215,-0.7324767,-0.36728388
-0.3087448,-0.7408314,-0.6399946,-0.8004621,-0.997215,-0.7324767,-0.36728388,-0.8415273
-0.7408314,-0.6399946,-0.8004621,-0.997215,-0.7324767,-0.36728388,-0.8415273,-0.5583519
-0.6399946,-0.8004621,-0.997215,-0.7324767,-0.36728388,-0.8415273,-0.5583519,-0.6601336
-0.8004621,-0.997215,-0.7324767,-0.36728388,-0.8415273,-0.5583519,-0.6601336,-0.84258837
-0.997215,-0.7324767,-0.36728388,-0.8415273,-0.5583519,-0.6601336,-0.84258837,-0.78055596
-0.7324767,-0.36728388,-0.8415273,-0.5583519,-0.6601336,-0.84258837,-0.78055596,-0.761925
-0.36728388,-0.8415273,-0.5583519,-0.6601336,-0.84258837,-0.78055596,-0.761925,-0.7985458
-0.8415273,-0.5583519,-0.6601336,-0.84258837,-0.78055596,-0.761925,-0.7985458,-0.5493232
-0.5583519,-0.6601336,-0.84258837,-0.78055596,-0.761925,-0.7985458,-0.5493232,-0.59540796
-0.6601336,-0.84258837,-0.78055596,-0.761925,-0.7985458,-0.5493232,-0.59540796,-0.8151476
-0.84258837,-0.78055596,-0.761925,-0.7985458,-0.5493232,-0.59540796,-0.8151476,-0.47343695
